"Domain Name","Selling Price","Sale Type",Listed,"TLDs Taken","TLDs Developed","Domain Score","Expiration Date"
FogEngine.io,"8,888",BIN,Y,12,,5.90,"Mar 27, 2027"
FogEngine.ai,"14,888",BIN,Y,12,,5.00,"Mar 27, 2028"
DnaBite.com,"4,361",BIN,Y,1,,6.00,"Apr 14, 2027"
KernEngine.com,"5,297",BIN,Y,2,,5.30,"Apr 13, 2027"
MythosScale.com,"3,899",BIN,Y,3,,6.10,"Apr 07, 2027"
MythosSync.com,"3,899",BIN,Y,3,,5.80,"Apr 07, 2027"
ClawEmbed.com,"3,099",BIN,Y,3,,5.50,"Apr 02, 2027"
TrendDrill.com,"4,361",BIN,Y,1,,5.50,"Apr 06, 2027"
JuvOda.com,"4,361",BIN,Y,1,,5.50,"Apr 05, 2027"
MagnifyLeads.com,"2,199",BIN,Y,1,,5.30,"Apr 04, 2027"
VectorSift.com,"3,899",BIN,Y,4,,5.80,"Apr 02, 2027"
PriceAutomate.com,"5,297",BIN,Y,3,,5.20,"Apr 01, 2027"
AshaBot.com,"2,333",BIN,Y,5,,6.50,"Mar 30, 2027"
TapToWash.com,"3,899",BIN,Y,4,,5.80,"Mar 31, 2027"
Eleniz.com,"3,899",BIN,Y,4,,5.50,"Mar 25, 2027"
FogEngine.com,"14,888",BIN,Y,13,,7.80,"Mar 24, 2027"
AmbitCode.com,"3,399",BIN,Y,1,,5.50,"Nov 21, 2026"
ShiftLux.com,"3,899",BIN,Y,1,,6.30,"Oct 17, 2026"
ComfyUx.com,"5,297",BIN,Y,1,,6.00,"Oct 10, 2026"
SyncRender.com,"4,361",BIN,Y,4,,5.00,"Apr 09, 2027"
CapVerve.com,"4,873",BIN,Y,1,,7.60,"Oct 03, 2026"
FinTriva.com,"3,899",BIN,Y,2,,6.10,"Oct 03, 2026"
BulwarkPay.com,"4,999",BIN,Y,4,,5.00,"Aug 22, 2027"
RevRit.com,"2,199",BIN,Y,4,,6.50,"Aug 17, 2027"
FinLyra.com,"3,899",BIN,Y,2,,5.50,"Oct 03, 2026"
NodFit.com,"4,595",BIN,Y,3,,6.80,"Aug 22, 2027"
CozyUx.com,"5,297",BIN,Y,1,,5.50,"Oct 10, 2026"
